epoch,ckpt_path,val_mse_train,eps_eval,S_eval,KL_eval,RHS,ratio,bound_satisfied
339,data\part-2-learn\a2\checkpoints\best.pt,0.02908478405926009,0.20104170981086106,0.016878217051073223,0.0021814590334782763,0.026118573454812086,0.08352136985017321,True
399,data\part-2-learn\a2\checkpoints\final.pt,0.03586433595082462,0.1990390721253246,0.020481443484658877,0.0036081364863794767,0.02848515711045304,0.12666724892506978,True
0,data\part-2-learn\a2\checkpoints\ckpt__sched=a2__epoch=0__valmse=1-07e-1__2025-10-31T03-16-54.pt,0.10658353971767495,0.3100601143772441,0.178283624094682,0.08444932510581275,0.13091868359165235,0.645051743486958,True
4,data\part-2-learn\a2\checkpoints\ckpt__sched=a2__epoch=4__valmse=6-58e-2__2025-10-31T03-16-54.pt,0.06579540355187016,0.27623252526612013,0.10537205661767915,0.039859700242456,0.08966801214214738,0.44452530272744184,True
9,data\part-2-learn\a2\checkpoints\ckpt__sched=a2__epoch=9__valmse=6-37e-2__2025-10-31T03-16-55.pt,0.06367287418016057,0.25244329743891786,0.04388537894490137,0.007937272975263317,0.05288393597018153,0.15008854446345912,True
149,data\part-2-learn\a2\checkpoints\ckpt__sched=a2__epoch=149__valmse=4-68e-2__2025-10-31T03-16-59.pt,0.046845734614400864,0.22401870558133877,0.019967714121261842,0.00217076415861641,0.031655447590975584,0.0685747422265246,True
249,data\part-2-learn\a2\checkpoints\ckpt__sched=a2__epoch=249__valmse=3-78e-2__2025-10-31T03-17-02.pt,0.03776150462530752,0.21080469989053788,0.026874826164511926,0.005302804679147255,0.034558359736739874,0.15344491809053393,True
34,data\part-2-learn\a2\checkpoints\ckpt__sched=a2__epoch=34__valmse=5-02e-2__2025-10-31T03-16-55.pt,0.050208995413222615,0.24979920373345793,0.03428512445094521,0.006273837940851875,0.046253426878848564,0.13564049983334026,True
89,data\part-2-learn\a2\checkpoints\ckpt__sched=a2__epoch=89__valmse=4-86e-2__2025-10-31T03-16-57.pt,0.04856440671946115,0.23919727762985368,0.014880983940656069,0.001602689805669009,0.029179111027664566,0.054925929859532284,True
149,data\part-2-learn\a2\checkpoints\ckpt__sched=a2__epoch=149__valmse=4-68e-2__2025-10-31T03-16-59.pt,0.046845734614400864,0.22401870558133877,0.019967714121261842,0.00217076415861641,0.031655447590975584,0.0685747422265246,True
164,data\part-2-learn\a2\checkpoints\ckpt__sched=a2__epoch=164__valmse=3-98e-2__2025-10-31T03-16-59.pt,0.03978339629238649,0.22151999681228146,0.02318750018869815,0.0027379393843949807,0.03373182990755508,0.08116782848421014,True
249,data\part-2-learn\a2\checkpoints\ckpt__sched=a2__epoch=249__valmse=3-78e-2__2025-10-31T03-17-02.pt,0.03776150462530752,0.21080469989053788,0.026874826164511926,0.005302804679147255,0.034558359736739874,0.15344491809053393,True
309,data\part-2-learn\a2\checkpoints\ckpt__sched=a2__epoch=309__valmse=3-74e-2__2025-10-31T03-17-04.pt,0.03741038085339708,0.203969858689928,0.020981309075136616,0.0034779357782405347,0.02954488376423597,0.1177170235629957,True
334,data\part-2-learn\a2\checkpoints\ckpt__sched=a2__epoch=334__valmse=3-20e-2__2025-10-31T03-17-04.pt,0.03197182682003954,0.20125824619155896,0.01600831126772852,0.001957961970872045,0.02546398934726104,0.07689140708357418,True
339,data\part-2-learn\a2\checkpoints\ckpt__sched=a2__epoch=339__valmse=2-91e-2__2025-10-31T03-17-04.pt,0.02908478405926009,0.20104170981086106,0.016878217051073223,0.0021814590334782763,0.026118573454812086,0.08352136985017321,True
399,data\part-2-learn\a2\checkpoints\ckpt__sched=a2__epoch=399__valmse=3-59e-2__2025-10-31T03-17-06.pt,0.03586433595082462,0.1990390721253246,0.020481443484658877,0.0036081364863794767,0.02848515711045304,0.12666724892506978,True
